    PID CMD
   2729 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2134 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1910 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2621 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2229 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1917 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   2118 /usr/bin/gnome-shell
  10330 /usr/bin/gnome-text-editor /home/osc/OSC_TASKS/task-5/solution.txt
   2235 /usr/bin/ibus-daemon --panel disable
   9939 /usr/bin/nautilus --gapplication-service
   1891 /usr/bin/pipewire
   1892 /usr/bin/pipewire -c filter-chain.conf
   1907 /usr/bin/pipewire-pulse
   1029 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   3071 /usr/bin/snap userd
   3628 /usr/bin/update-notifier
   1904 /usr/bin/wireplumber
  10005 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.VIC3S2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    797 /usr/libexec/accounts-daemon
   2185 /usr/libexec/at-spi2-registryd --use-gnome-session
   2122 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1197 /usr/libexec/colord
   2548 /usr/libexec/dconf-service
   2479 /usr/libexec/evolution-addressbook-factory
   2447 /usr/libexec/evolution-calendar-factory
   2274 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2219 /usr/libexec/evolution-source-registry
  10563 /usr/libexec/fwupd/fwupd
   2051 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1953 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    776 /usr/libexec/gnome-remote-desktop-daemon --system
   1971 /usr/libexec/gnome-session-binary --session=ubuntu
   2082 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2052 /usr/libexec/gnome-session-ctl --monitor
   2198 /usr/libexec/gnome-shell-calendar-server
   2806 /usr/libexec/gnome-terminal-server
   2430 /usr/libexec/goa-daemon
   2454 /usr/libexec/goa-identity-service
   2238 /usr/libexec/gsd-a11y-settings
   2243 /usr/libexec/gsd-color
   2244 /usr/libexec/gsd-datetime
   2269 /usr/libexec/gsd-disk-utility-notify
   2245 /usr/libexec/gsd-housekeeping
   2246 /usr/libexec/gsd-keyboard
   2248 /usr/libexec/gsd-media-keys
   2250 /usr/libexec/gsd-power
   2588 /usr/libexec/gsd-printer
   2252 /usr/libexec/gsd-print-notifications
   2253 /usr/libexec/gsd-rfkill
   2255 /usr/libexec/gsd-screensaver-proxy
   2256 /usr/libexec/gsd-sharing
   2257 /usr/libexec/gsd-smartcard
   2258 /usr/libexec/gsd-sound
   2260 /usr/libexec/gsd-wacom
  10010 /usr/libexec/gsd-xsettings
   2498 /usr/libexec/gvfs-afc-volume-monitor
   2066 /usr/libexec/gvfsd
  10099 /usr/libexec/gvfsd-dnssd --spawner :1.19 /org/gtk/gvfs/exec_spaw/4
   2074 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2754 /usr/libexec/gvfsd-metadata
  10069 /usr/libexec/gvfsd-network --spawner :1.19 /org/gtk/gvfs/exec_spaw/2
  10057 /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
   2567 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
   2480 /usr/libexec/gvfs-goa-volume-monitor
   2504 /usr/libexec/gvfs-gphoto2-volume-monitor
   2488 /usr/libexec/gvfs-mtp-volume-monitor
   2465 /usr/libexec/gvfs-udisks2-volume-monitor
   2517 /usr/libexec/ibus-engine-simple
   2420 /usr/libexec/ibus-extension-gtk3
   2419 /usr/libexec/ibus-memconf
   2434 /usr/libexec/ibus-portal
  10031 /usr/libexec/ibus-x11
  10036 /usr/libexec/mutter-x11-frames
    788 /usr/libexec/power-profiles-daemon
   1106 /usr/libexec/rtkit-daemon
    801 /usr/libexec/switcheroo-control
   2600 /usr/libexec/tracker-miner-fs-3
    810 /usr/libexec/udisks2/udisksd
   1238 /usr/libexec/upowerd
   2706 /usr/libexec/xdg-desktop-portal
   2731 /usr/libexec/xdg-desktop-portal-gnome
   2764 /usr/libexec/xdg-desktop-portal-gtk
   1923 /usr/libexec/xdg-document-portal
   1945 /usr/libexec/xdg-permission-store
    781 /usr/lib/polkit-1/polkitd --no-debug
    796 /usr/lib/snapd/snapd
    355 /usr/lib/systemd/systemd-journald
    805 /usr/lib/systemd/systemd-logind
    590 /usr/lib/systemd/systemd-oomd
    595 /usr/lib/systemd/systemd-resolved
    614 /usr/lib/systemd/systemd-timesyncd
    429 /usr/lib/systemd/systemd-udevd
   1874 /usr/lib/systemd/systemd --user
    770 /usr/sbin/anacron -d -q -s
    800 /usr/sbin/cron -f -P
   1061 /usr/sbin/cups-browsed
   1026 /usr/sbin/cupsd -l
   1043 /usr/sbin/gdm3
   1069 /usr/sbin/kerneloops
   1064 /usr/sbin/kerneloops --test
    899 /usr/sbin/ModemManager
    836 /usr/sbin/NetworkManager --no-daemon
    848 /usr/sbin/rsyslogd -n -iNONE
    840 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
